Product,Color,FoodGroup,Quantity
Potatoes - Mini White 3 Oz,Fuscia,Meats and Poultry,$1.86
Grapes - Green,Violet,Fruits and Vegetables,$2.56
Foam Espresso Cup Plain White,Maroon,Fruits and Vegetables,$0.49
"Wine - White Ej Gallo",Crimson,Nuts and Graints,$1.98
Sea Bass - Fillets,Purple,Nuts and Graints,$1.76
"Lamb - Shoulder Boneless",Violet,Fruits and Vegetables,$0.56
"Flour - Buckwheat Dark",Aquamarine,Dairy,$0.92
Pomegranates,Green,Meats and Poultry,$0.86
Olives - Kalamata,Blue,Nuts and Graints,$0.67
Wine - Chateau Aqueria Tavel,Crimson,Dairy,$0.22
Muffin Batt - Ban Dream Zero,Aquamarine,Fruits and Vegetables,$0.90
Pie Filling - Pumpkin,Red,Nuts and Graints,$0.43
Beer - Sleemans Honey Brown,Maroon,Meats and Poultry,$0.42
Wine - Port Late Bottled Vintage,Pink,Nuts and Graints,$0.14
Longos - Lasagna Veg,Pink,Dairy,$0.93